name,url
flag-kz,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1ff.png
flag-la,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1e6.png
flag-lb,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1e7.png
flag-lc,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1e8.png
flag-li,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1ee.png
flag-lk,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1f0.png
flag-lr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1f7.png
flag-ls,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1f8.png
flag-lt,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1f9.png
flag-lu,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1fa.png
flag-lv,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1fb.png
flag-ly,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f1-1f1fe.png
flag-ma,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1e6.png
flag-mc,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1e8.png
flag-md,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1e9.png
flag-me,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1ea.png
flag-mf,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1eb.png
flag-mg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1ec.png
flag-mh,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1ed.png
flag-mk,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f0.png
flag-ml,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f1.png
flag-mm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f2.png
flag-mn,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f2-1f1f3.png
